KEY;target;NON_CURRENT_ASSETS;tangible_fixed_assets;CURRENT_ASSETS;cash_other_liquid_assets;STOCKS;debtors_other_short_term;TOTAL_ASSETS;net_worth;NON_CURRENT_LIABILITIES;CURRENT_LIABILITIES;SUPPLIERS;TOTAL_LIABILITIES;OTHER_OPERATION_EXPENSES;ORDINARY_EBITDA;Non_Ordinary_Result;NET_OPERATION_RESULT;FINANCIAL_INCOMES;FINANCIAL_EXPENSES;FINANCIAL_RESULTS;BENEFITS_BEFORE_TAXES;COMPANIES_TAX;BANK_INDEBTEDNESS;GROSS_FINANCIAL_DEBT;Net_result;CLIENT_COLLECTING;REVENUES_VARIATION;Exercise_result;Income;other_operation_incomes;personnel_expenses;depreciation_provision;ROLLING_FUND
1;0;9766024;8498353;45752938;254026;149.22;18701339;55518962;16322574.83;4762421;34433966.17;156071;39196387.17;686587;1494051;0.463;1305394;0.05693;532366.556;773027.5009;773027.9639;201.88;5270956;5270956;772826.0839;3478449.054;-37322.7135;772826.0839;3302895;3302895;1122257;188657;11318971.83
2;0;12573364;12272798;3505143;1980755;0;0;16078507;15986707;0;91800;0.918;91800;42852;51444;0;-475017;0.02758;0;-475016.9724;-475016.9724;-466518;0;0;-8498.97242;0;4809.096;-8498.97242;94296;18;0;526461;3413343
3;0;19119676;1054956;9801435;2715333;2883271;4202831;28921111;19357829;162393;9400889;4046086;9563282;1667668;-3882039;-151253;-3937191;199881;205.218;-3737515.218;-3888768.218;-880723;9.06E-05;1754;-3008045.218;886797.341;6405.1147;-3008045.218;177427;24037791;2391798;55152;400546
4;0;16683436;16629973;122369281;27194599;5925481;0;139052717;72000495;9834503;57217719;51560747;67052222;16219118;37837323.52;321899;36780917.52;0.00844;1270300.95;35510616.58;35832515.58;1350037;0.215157896;15491475;34482478.58;0;236582.8439;34482478.58;87623275.52;21617148;33566834;1056406;65151562
5;0;337927241;156321212;212167901;4305164;85284982;122577755;550095142;251030369;83701283;215363490;151296981;299064773;54022063;453592913;-4173776;429814657;1145939;13594996.97;417365599;413191823;4220078;0.530948843;133284284;408971745;18386663.25;56019259.13;408971745;673308403;673308403;165693427;23778256;-3195589
6;0;657521;8755;78895;58952;0;5405;736416;717036;13974;5406;0;19380;22977;16429.58;0;13540.43;0.002;0;13540.432;13540.432;10934;0;0;2606.432;1221.53;1904.000007;2606.432;39420.29;99098;13.71;2889.15;73489
7;0;46820052;436617;151097922;1002987;89092274;1382334;197917974;86420928;26631526;84865520;56127981;111497046;17328414;120131824;116274;119995599.5;0.02531;398107.198;119597492.3;119713766.3;1192746;0.622514375;5379827;118521020.3;304113.48;10590540.62;118521020.3;163686872;163686872;26226634;136224.504;66232402
8;0;317360742;0;35170125;18477499;0;16692626;352530867;239845516;73991928;38693423;5524812;112685351;64011;90895.62;0;90895.62;39928189;0;40019084.62;40019084.62;316143;0;0;39702941.62;3939459.736;1657.500834;39702941.62;154906.62;148758;0;0;-3523298
9;0;1631;1617;424;266;0;122;2055;1793;40;222;0;262;372;876.2;-2;781.2;0;8.04;773.16;771.16;27;0.074735081;134;744.16;21.594;112.07946;744.16;1550.2;935;302;95;202
10;0;72430827;234027;28806131;20116576;65249;61471;101236958;85614794;0;15622164;15007454;15622164;1602878;4385400.24;0.07166;4385399.84;1447;0;4386846.84;4386846.912;0.5582;0;0;4386846.353;10081.244;139354.5261;4386846.353;8602131.24;73.81;2613853;0.4;13183967
